X,Y,OBJECTID,UNITTYPE,OWNEDBY,MAINTAINEDBY,STATUS,UNITID
7542025.736,479529.6535,10,MH,CS,CS,ABND,71698
7542233.418,479524.6624,11,MH,CS,CS,ABND,71699
7542547.003,479515.9816,12,MH,CS,CS,ABND,71700
7542778.633,479506.7369,13,MH,CS,CS,ABND,71701
7561451.848,477721.7448,15,MH,CS,CS,ACT,11093
7561417.435,477688.3944,16,MH,CS,CS,ACT,11146
7561449.383,477724.8041,17,MH,CS,CS,ACT,11088
7561415.041,477691.7579,18,MH,CS,CS,ACT,11141
7561445.965,477727.2346,19,MH,CS,CS,ACT,11083
7561412.025,477694.4567,20,MH,CS,CS,ACT,11136
7535056.897,489802.1168,21,MH,CS,CS,ACT,1348
7538805.325,477192.3202,22,MH,CS,CS,ACT,11923
7539262.079,477548.4022,23,MH,CS,CS,ACT,11357
7538779.861,477261.4997,24,MH,CS,CS,ACT,11745
7567934.931,440237.0269,25,MH,CS,CS,ACT,36478
7567701.179,439681.8875,26,MH,CS,CS,ACT,36488
7537677.086,483407.6211,27,FCMH,CS,CS,ACT,4681
7546404.07,478369.5387,28,MH,CS,CS,ACT,10152
7546288.399,478418.2726,29,CO,CS,CS,ACT,10062
7546293.376,478433.7028,30,CO,CS,CS,ACT,10041
7546134.738,478430.4672,31,MH,CS,CS,ACT,10053
7550053.77,453404.5732,33,MH,CS,CS,ACT,31597
7545767.306,478485.8012,34,MH,CS,CS,ACT,9995
7547031.645,478430.5482,35,MH,CS,CS,ACT,10054
7534783.449,463744.9757,36,MH,CS,CS,ACT,23328
7534831.838,463584.1503,37,MH,CS,CS,ACT,23482
7550446.35,453737.6447,38,MH,CS,CS,ACT,31264
7550355.955,453695.0436,39,MH,CS,CS,ACT,31314
7548316.558,476067.0328,40,MH,CS,CS,ACT,13651
7554509.704,486399.5548,41,MH,CS,CS,ACT,2586
7542893.021,466986.1952,43,CO,CS,CS,ACT,20797
7542884.921,466866.4049,44,CO,CS,CS,ACT,20869
7536040.506,483498.2067,45,MH,CS,CS,ACT,4573
7536035.288,483495.3547,46,MH,CS,CS,ACT,4574
7536029.637,483492.1768,47,MH,CS,CS,ACT,4576
7536024.311,483488.8907,48,MH,CS,CS,ACT,4579
7536018.443,483485.9301,49,MH,CS,CS,ACT,4583
7536105.813,483434.8878,50,MH,CS,CS,ACT,4637
7536100.687,483431.8104,51,MH,CS,CS,ACT,4644
7536095.344,483428.9501,52,MH,CS,CS,ACT,4649
7536090.652,483426.0896,53,MH,CS,CS,ACT,4653
7536085.092,483422.6867,54,MH,CS,CS,ACT,4659
7536080.183,483419.7182,55,MH,CS,CS,ACT,4663
7536074.514,483416.4239,56,MH,CS,CS,ACT,4668
7536069.388,483413.2379,57,MH,CS,CS,ACT,4672
7554194.407,480461.3133,61,FCMH,CS,CS,ACT,7524
7563858.34,478659.7904,62,FCMH,CS,CS,ACT,9796
7541209.719,478368.8642,63,MH,STAT,CS,ACT,10158
7541208.619,478351.5256,64,MH,STAT,CS,ACT,10183
7562185.14,477903.997,65,FCMH,CS,CS,ACT,10725
7562425.03,477893.9957,66,FCMH,CS,CS,ACT,10750
7562559.933,476691.2733,67,FCMH,CS,CS,ACT,12609
7545504.891,469289.4416,68,VLT,CS,CS,ACT,19497
7544606.732,454829.9101,69,FCMH,CS,CS,ACT,30225
7546816.412,453722.3002,70,FCMH,CS,CS,ACT,31291
7548747.527,453255.061,71,CO,CS,CS,ACT,31755
7546428.197,447928.2011,75,FCMH,CS,CS,ACT,35411
7541209.17,478360.1949,77,MH,STAT,CS,ACT,69459
7540672.026,454102.8865,96,MH,CS,CS,ABND,70738
7557261.169,479216.9869,97,CO,CS,CS,ACT,70739
7545854.712,454869.4869,104,MH,CS,CS,ACT,30185
7546348.471,452406.8806,105,CO,CS,CS,ACT,32402
7546238.45,452411.2881,107,MH,CS,CS,ACT,32396
7546667.98,452392.7418,108,MH,CS,CS,ACT,32413
7546720.034,452413.728,109,MH,CS,CS,ACT,32373
7548074.995,453282.8904,110,MH,CS,CS,ACT,31725
7548242.916,453281.0741,111,FCMH,CS,CS,ACT,31726
7549926.243,451205.5489,112,MH,CS,CS,ACT,33323
7548414.79,453275.3878,113,MH,CS,CS,ACT,31731
7548492.385,453261.9065,114,CO,CS,CS,ACT,31746
7548753.27,453250.3205,115,CO,CS,CS,ACT,31761
7552074.622,484183.9885,116,MH,CS,CS,ACT,4157
7552063.156,484182.0259,117,MH,CS,CS,ACT,4158
7551988.11,484008.1985,118,MH,CS,CS,ACT,4223
7551909.016,483831.063,119,MH,CS,CS,ACT,4346
7551843.217,483683.8852,120,MH,CS,CS,ACT,4439
7551742.358,483610.3576,121,MH,CS,CS,ACT,4493
7549362.016,453267.4459,122,CO,CS,CS,ACT,31740
7549051.228,453247.7123,123,CO,CS,CS,ACT,31767
7549354.379,453266.5351,124,CO,CS,CS,ACT,31742
7549653.593,453325.9649,125,CO,CS,CS,ACT,31682
7550300.953,455392.5325,126,MH,CS,CS,ACT,29746
7550262.698,455342.6683,127,MH,CS,CS,ACT,29792
7536721.622,482177.5174,128,MH,CS,CS,ACT,5753
7537203.455,482205.4715,129,CO,CS,CS,ACT,5719
7536725.079,482224.1985,130,MH,CS,CS,ACT,5699
7536385.893,482188.8711,131,MH,CS,CS,ACT,5739
7536655.373,482031.3967,132,MH,CS,CS,ACT,5934
7537487.49,482139.5233,133,MH,CS,CS,ACT,5798
7536659.862,482136.1624,134,FCMH,CS,CS,ACT,5830
7535984.361,483459.6283,135,MH,CS,CS,ACT,4609
7536061.807,483511.0108,136,MH,CS,CS,ACT,4562
7536064.371,483409.9436,137,MH,CS,CS,ACT,4675
7550776.721,453827.022,138,CO,CS,CS,ACT,31146
7550788.336,453807.8343,139,CO,CS,CS,ACT,31168
7550974.177,454014.7195,140,MH,CS,CS,ACT,30982
7550606.995,453757.9049,141,MH,CS,CS,ACT,31231
7551088.652,453948.7228,142,MH,CS,CS,ACT,31043
7552523.385,471486.706,143,CO,CS,CS,ACT,18236
