OBJECTID,PWGRID,OWNEDBY,STATUS,Code Name,Portal Destination,Risk Level,ID,X-coord,Y-coord,longitude,latitude
10,39-478,CS,ABND,egolemosarn,Desolate Barrow,You should bring a group.,71698,7542025.736,479529.6535,-123.05027221299997,44.953413787000045
11,39-478,CS,ABND,sloaomenger,Parched Ziggurat,You should bring a group.,71699,7542233.418,479524.6624,-123.04946973399996,44.95341807900007
12,39-478,CS,ABND,nrlogsmeoae,Tangled Pit,This is probably your last adventure.,71700,7542547.003,479515.9816,-123.048257907,44.95342141300006
13,39-478,CS,ABND,eelaomrnosg,Humming Pantry,"You should bring a group, a guide, a weapon, and a healer.",71701,7542778.633,479506.7369,-123.04736244699995,44.95341610000003
15,57-476,CS,ACT,msgooarelen,Drifting Expanse,"You should bring a group, a guide, and a weapon.",11093,7561451.848,477721.7448,-122.975050926,44.950114076000034
16,57-476,CS,ACT,alseoeomrgn,Gilded Sect,You should bring a group.,11146,7561417.435,477688.3944,-122.975179847,44.950019748000045
17,57-476,CS,ACT,olsnogeearm,Tempestuous Labyrinth,You should bring a group and a guide.,11088,7561449.383,477724.8041,-122.97506080899996,44.95012225700003
18,57-476,CS,ACT,oalsoreegmn,Stony Monastery,This is probably your last adventure.,11141,7561415.041,477691.7579,-122.97518948799996,44.95002876900003
19,57-476,CS,ACT,aerlooesgmn,Nautical Flats,"You should bring a group, a guide, a weapon, and a healer.",11083,7561445.965,477727.2346,-122.97507429099994,44.95012863300008
20,57-476,CS,ACT,selnameroog,Opulent Pass,You should bring a group.,11136,7561412.025,477694.4567,-122.97520145199996,44.95003591400007
21,33-488,CS,ACT,rosgnmloeae,Flourishing Castle,You should bring a group and a guide.,1348,7535056.897,489802.1168,-123.07844519599996,44.980970101000025
22,36-476,CS,ACT,slmgoonerea,Phantasmal Colosseum,You might want to bring a friend.,11923,7538805.325,477192.3202,-123.06241999599996,44.946726270000056
23,36-476,CS,ACT,lngsaomeeor,Moaning Warren,"You should bring a group, a guide, and a weapon.",11357,7539262.079,477548.4022,-123.06070024499996,44.947742223000034
24,36-476,CS,ACT,rseomagneol,Coiling Steppes,You might want to bring a friend.,11745,7538779.861,477261.4997,-123.06252677499998,44.946913718000076
25,66-440,CS,ACT,eaoerosgmln,Ominous Dungeon,You might want to bring a friend.,36478,7567934.931,440237.0269,-122.94563743599997,44.84788274300007
26,63-438,CS,ACT,meoalsongre,Bountiful Shambles,"You should bring a group, a guide, a weapon, and a healer.",36488,7567701.179,439681.8875,-122.94647353199997,44.84634127800007
27,33-482,CS,ACT,oselgmaeorn,Divine Waterfall,You should be fine.,4681,7537677.086,483407.6211,-123.06753845499998,44.96366789800004
28,42-478,CS,ACT,moeloaegsnr,Pulsing Hold,"You should bring a group, a guide, and a weapon.",10152,7546404.07,478369.5387,-123.03322664099994,44.95061095900007
29,42-478,CS,ACT,ogoamlesner,Withered Garden,You should be fine.,10062,7546288.399,478418.2726,-123.03367913599999,44.95073462200003
30,42-478,CS,ACT,aneooergslm,Baleful Spring,You should bring a group.,10041,7546293.376,478433.7028,-123.03366178899995,44.95077735400008
31,42-478,CS,ACT,soenglaeorm,Scalding Isle,You should be fine.,10053,7546134.738,478430.4672,-123.03427388199998,44.950754837000034
33,48-452,CS,ACT,lonergoemsa,Resplendent Ward,You should bring a group and a guide.,31597,7550053.77,453404.5732,-123.01613262899997,44.882478466000066
34,42-478,CS,ACT,lmaoeonersg,Bejeweled Sect,This is probably your last adventure.,9995,7545767.306,478485.8012,-123.03569920299998,44.95087492400006
35,45-478,CS,ACT,smngeorolae,Golden Town,You might want to bring a friend.,10054,7547031.645,478430.5482,-123.03081102199997,44.950832166000055
36,30-462,CS,ACT,gmerenaolos,Glacial Hollow,"You should bring a group, a guide, and a weapon.",23328,7534783.449,463744.9757,-123.07629066799996,44.90950821000007
37,33-462,CS,ACT,enmslrgaeoo,Roaring Guild,"You should bring a group, a guide, and a weapon.",23482,7534831.838,463584.1503,-123.07608418899997,44.90907152300008
38,48-452,CS,ACT,mrgoanelseo,Dwindling Ledge,This is probably your last adventure.,31264,7550446.35,453737.6447,-123.01465869999998,44.88342516100005
39,48-452,CS,ACT,sneaorolgme,Warped Chapel,You should be fine.,31314,7550355.955,453695.0436,-123.01500218199999,44.88330064500008
40,45-476,CS,ACT,ogrnesmoela,Scorched Summit,You might want to bring a friend.,13651,7548316.558,476067.0328,-123.02556472899994,44.94446253000007
41,51-486,CS,ACT,lroamgosnee,Phantasmal Precinct,This is probably your last adventure.,2586,7554509.704,486399.5548,-123.00289212699994,44.97331928800003
43,39-466,CS,ACT,onelgermaos,Undulating Oasis,"You should bring a group, a guide, and a weapon.",20797,7542893.021,466986.1952,-123.045397203,44.91909935900003
44,39-466,CS,ACT,meaosgeonlr,Golden Knoll,You should bring a group.,20869,7542884.921,466866.4049,-123.04541389399998,44.918770238000036
45,33-482,CS,ACT,sealegrnomo,Reflective Crescent,You might want to bring a friend.,4573,7536040.506,483498.2067,-123.07386959099995,44.96377343100005
46,33-482,CS,ACT,leonmgsaore,Hollow Isle,"You should bring a group, a guide, a weapon, and a healer.",4574,7536035.288,483495.3547,-123.07388938699995,44.96376515700007
47,33-482,CS,ACT,aoeerlognsm,Harmonious Basin,You should bring a group and a guide.,4576,7536029.637,483492.1768,-123.073910819,44.96375595000006
48,33-482,CS,ACT,eslaeornomg,Primeval Pit,"You should bring a group, a guide, a weapon, and a healer.",4579,7536024.311,483488.8907,-123.07393098199998,44.96374647600004
49,33-482,CS,ACT,eosmgnarleo,Barren Barrow,"You should bring a group, a guide, and a weapon.",4583,7536018.443,483485.9301,-123.07395327799998,44.96373784600007
50,33-482,CS,ACT,eosonrlegma,Spectral Park,You should bring a group and a guide.,4637,7536105.813,483434.8878,-123.07360959899995,44.96360554300003
51,33-482,CS,ACT,lgsereanomo,Whispering Tavern,You should be fine.,4644,7536100.687,483431.8104,-123.073629015,44.96359665800003
52,33-482,CS,ACT,seeronmolga,Uncharted Keep,You should bring a group and a guide.,4649,7536095.344,483428.9501,-123.07364929699997,44.963588350000066
53,33-482,CS,ACT,moalgoseren,Delirious Scar,This is probably your last adventure.,4653,7536090.652,483426.0896,-123.07366706399995,44.96358009700003
54,33-482,CS,ACT,sgeanlmoreo,Scorched Meadow,You might want to bring a friend.,4659,7536085.092,483422.6867,-123.07368811599997,44.963570282000035
55,33-482,CS,ACT,enomraoslge,Painted Pond,You should be fine.,4663,7536080.183,483419.7182,-123.07370670899996,44.963561715000026
56,33-482,CS,ACT,nasmrelogoe,Meandering Labyrinth,You should bring a group.,4668,7536074.514,483416.4239,-123.07372819399995,44.96355218800005
57,33-482,CS,ACT,egomlsrneao,Inverted Quarters,"You should bring a group, a guide, a weapon, and a healer.",4672,7536069.388,483413.2379,-123.07374759799995,44.963543005000076
61,51-480,CS,ACT,lresgeomaon,Chimerical Bunker,You should bring a group and a guide.,7524,7554194.407,480461.3133,-123.00339901599995,44.95701184500007
62,60-478,CS,ACT,lasonegeomr,Verdant Swamp,You should bring a group.,9796,7563858.34,478659.7904,-122.965870151,44.95288773200008
63,39-478,STAT,ACT,eamgsnooerl,Timeless Orchard,You might want to bring a friend.,10158,7541209.719,478368.8642,-123.05328119999996,44.950160664000066
64,39-478,STAT,ACT,areomnseglo,Tangled Mire,You might want to bring a friend.,10183,7541208.619,478351.5256,-123.05328332999994,44.95011303300004
65,60-476,CS,ACT,mogesleroan,Stormy Meadow,You should be fine.,10725,7562185.14,477903.997,-122.97224126799995,44.95067533200006
66,60-476,CS,ACT,slnogeeomar,Stark Sierra,This is probably your last adventure.,10750,7562425.03,477893.9957,-122.97131387499996,44.95066804000004
67,60-476,CS,ACT,regoasemlon,Infested Bivouac,"You should bring a group, a guide, a weapon, and a healer.",12609,7562559.933,476691.2733,-122.97065096399996,44.947381851000046
68,42-468,CS,ACT,srmaonelgoe,Bountiful Temple,You should be fine.,19497,7545504.891,469289.4416,-123.03559764599999,44.925639268000054
69,42-454,CS,ACT,rleeaoongms,Reflective Acropolis,You should bring a group and a guide.,30225,7544606.732,454829.9101,-123.03731072599999,44.88591904700007
70,45-452,CS,ACT,aoelenmgosr,Asymmetrical Frost,You should be fine.,31291,7546816.412,453722.3002,-123.02865525799996,44.88307236500003
71,45-452,CS,ACT,almegroneso,Infested Scar,"You should bring a group, a guide, and a weapon.",31755,7548747.527,453255.061,-123.02115192599996,44.88195687100006
75,42-446,CS,ACT,ngosaromlee,Glassy Highland,This is probably your last adventure.,35411,7546428.197,447928.2011,-123.02945255999998,44.867153588000065
