Code Name,Portal Destination,Risk Level,ID,X-coord,Y-coord
egolemosarn,Desolate Barrow,You should bring a group.,71698,7542025.736,479529.6535
sloaomenger,Parched Ziggurat,You should bring a group.,71699,7542233.418,479524.6624
nrlogsmeoae,Tangled Pit,This is probably your last adventure.,71700,7542547.003,479515.9816
eelaomrnosg,Humming Pantry,"You should bring a group, a guide, a weapon, and a healer.",71701,7542778.633,479506.7369
msgooarelen,Drifting Expanse,"You should bring a group, a guide, and a weapon.",11093,7561451.848,477721.7448
alseoeomrgn,Gilded Sect,You should bring a group.,11146,7561417.435,477688.3944
olsnogeearm,Tempestuous Labyrinth,You should bring a group and a guide.,11088,7561449.383,477724.8041
oalsoreegmn,Stony Monastery,This is probably your last adventure.,11141,7561415.041,477691.7579
aerlooesgmn,Nautical Flats,"You should bring a group, a guide, a weapon, and a healer.",11083,7561445.965,477727.2346
selnameroog,Opulent Pass,You should bring a group.,11136,7561412.025,477694.4567
rosgnmloeae,Flourishing Castle,You should bring a group and a guide.,1348,7535056.897,489802.1168
slmgoonerea,Phantasmal Colosseum,You might want to bring a friend.,11923,7538805.325,477192.3202
lngsaomeeor,Moaning Warren,"You should bring a group, a guide, and a weapon.",11357,7539262.079,477548.4022
rseomagneol,Coiling Steppes,You might want to bring a friend.,11745,7538779.861,477261.4997
eaoerosgmln,Ominous Dungeon,You might want to bring a friend.,36478,7567934.931,440237.0269
meoalsongre,Bountiful Shambles,"You should bring a group, a guide, a weapon, and a healer.",36488,7567701.179,439681.8875
oselgmaeorn,Divine Waterfall,You should be fine.,4681,7537677.086,483407.6211
moeloaegsnr,Pulsing Hold,"You should bring a group, a guide, and a weapon.",10152,7546404.07,478369.5387
ogoamlesner,Withered Garden,You should be fine.,10062,7546288.399,478418.2726
aneooergslm,Baleful Spring,You should bring a group.,10041,7546293.376,478433.7028
soenglaeorm,Scalding Isle,You should be fine.,10053,7546134.738,478430.4672
lonergoemsa,Resplendent Ward,You should bring a group and a guide.,31597,7550053.77,453404.5732
lmaoeonersg,Bejeweled Sect,This is probably your last adventure.,9995,7545767.306,478485.8012
smngeorolae,Golden Town,You might want to bring a friend.,10054,7547031.645,478430.5482
gmerenaolos,Glacial Hollow,"You should bring a group, a guide, and a weapon.",23328,7534783.449,463744.9757
enmslrgaeoo,Roaring Guild,"You should bring a group, a guide, and a weapon.",23482,7534831.838,463584.1503
mrgoanelseo,Dwindling Ledge,This is probably your last adventure.,31264,7550446.35,453737.6447
sneaorolgme,Warped Chapel,You should be fine.,31314,7550355.955,453695.0436
ogrnesmoela,Scorched Summit,You might want to bring a friend.,13651,7548316.558,476067.0328
lroamgosnee,Phantasmal Precinct,This is probably your last adventure.,2586,7554509.704,486399.5548
onelgermaos,Undulating Oasis,"You should bring a group, a guide, and a weapon.",20797,7542893.021,466986.1952
meaosgeonlr,Golden Knoll,You should bring a group.,20869,7542884.921,466866.4049
sealegrnomo,Reflective Crescent,You might want to bring a friend.,4573,7536040.506,483498.2067
leonmgsaore,Hollow Isle,"You should bring a group, a guide, a weapon, and a healer.",4574,7536035.288,483495.3547
aoeerlognsm,Harmonious Basin,You should bring a group and a guide.,4576,7536029.637,483492.1768
eslaeornomg,Primeval Pit,"You should bring a group, a guide, a weapon, and a healer.",4579,7536024.311,483488.8907
eosmgnarleo,Barren Barrow,"You should bring a group, a guide, and a weapon.",4583,7536018.443,483485.9301
eosonrlegma,Spectral Park,You should bring a group and a guide.,4637,7536105.813,483434.8878
lgsereanomo,Whispering Tavern,You should be fine.,4644,7536100.687,483431.8104
seeronmolga,Uncharted Keep,You should bring a group and a guide.,4649,7536095.344,483428.9501
moalgoseren,Delirious Scar,This is probably your last adventure.,4653,7536090.652,483426.0896
sgeanlmoreo,Scorched Meadow,You might want to bring a friend.,4659,7536085.092,483422.6867
enomraoslge,Painted Pond,You should be fine.,4663,7536080.183,483419.7182
nasmrelogoe,Meandering Labyrinth,You should bring a group.,4668,7536074.514,483416.4239
egomlsrneao,Inverted Quarters,"You should bring a group, a guide, a weapon, and a healer.",4672,7536069.388,483413.2379
lresgeomaon,Chimerical Bunker,You should bring a group and a guide.,7524,7554194.407,480461.3133
lasonegeomr,Verdant Swamp,You should bring a group.,9796,7563858.34,478659.7904
eamgsnooerl,Timeless Orchard,You might want to bring a friend.,10158,7541209.719,478368.8642
areomnseglo,Tangled Mire,You might want to bring a friend.,10183,7541208.619,478351.5256
mogesleroan,Stormy Meadow,You should be fine.,10725,7562185.14,477903.997
slnogeeomar,Stark Sierra,This is probably your last adventure.,10750,7562425.03,477893.9957
regoasemlon,Infested Bivouac,"You should bring a group, a guide, a weapon, and a healer.",12609,7562559.933,476691.2733
srmaonelgoe,Bountiful Temple,You should be fine.,19497,7545504.891,469289.4416
rleeaoongms,Reflective Acropolis,You should bring a group and a guide.,30225,7544606.732,454829.9101
aoelenmgosr,Asymmetrical Frost,You should be fine.,31291,7546816.412,453722.3002
almegroneso,Infested Scar,"You should bring a group, a guide, and a weapon.",31755,7548747.527,453255.061
ngosaromlee,Glassy Highland,This is probably your last adventure.,35411,7546428.197,447928.2011
anogermseol,Forsaken Stronghold,You should be fine.,69459,7541209.17,478360.1949
goeeslnmaro,Dreamlike Stronghold,You should be fine.,70738,7540672.026,454102.8865
egeranosolm,Labyrinthine Plateau,"You should bring a group, a guide, and a weapon.",70739,7557261.169,479216.9869
losnmogreae,Malevolent Temple,You might want to bring a friend.,30185,7545854.712,454869.4869
gmelaoreson,Tangled Burrow,This is probably your last adventure.,32402,7546348.471,452406.8806
ealsronemog,Nocturnal Dale,You should be fine.,32396,7546238.45,452411.2881
